customer_id,name,age,gender,signup_date,last_purchase_date,total_purchases,total_spent,country,email,device_type,is_subscribed,feedback_score
5c7825f3-13bb-4843-9cf1-5b7a944def13,Andrew Miller,56,Male,2025-01-01,2024-06-12,18,6143.01,Bangladesh,qwilson@example.org,Mobile,1,2.7
ad1cf2e3-be49-4031-9770-c308b2d1292c,Kevin Ramos,69,Other,2025-05-16,2024-10-03,86,9498.14,Eritrea,shall@example.net,Mobile,1,1.6
33194def-ebb0-4d75-8942-9c83d7d579f2,John Smith,46,Other,2025-04-15,2025-04-27,34,4026.83,Russian Federation,leebrian@example.org,Mobile,0,3.7
6a1ce340-ec27-482e-a339-e89e2db11a01,Dustin Nolan,32,Male,2023-10-10,2024-10-20,8,9545.46,Serbia,sguzman@example.org,Mobile,1,1.9
3e529d86-76ed-4c85-83cf-c5ab446cb3c0,Amy Johnson,60,Female,2024-02-02,2025-03-03,40,1436.51,Mauritius,griffithsarah@example.org,Mobile,1,1.4
e4b073b6-fb28-475b-aba9-1c532a765267,Susan Gates,25,Male,2025-01-19,2024-06-26,83,4889.17,South Georgia and the South Sandwich Islands,ashleybrittany@example.org,Tablet,0,4.4
ce6e9b1e-37e0-457a-819a-9ff56593408d,Lisa Jones,38,Other,2024-05-07,2025-02-17,42,2772.12,Costa Rica,kristen02@example.net,Mobile,1,2.8
36e76444-0263-4833-b1de-05fb58bafdf4,Anthony Weaver,56,Other,2023-09-02,2023-12-20,41,5444.44,Mauritania,robinsonchloe@example.com,Tablet,0,4.0
0ca60263-2651-45d9-b874-028b0cfc5113,Jonathan Smith,36,Female,2025-03-12,2024-08-18,6,1703.94,Jersey,vanessarose@example.org,Desktop,0,2.2
a2bad19f-09d9-4211-802c-3b9bec04b27b,Robert Young,40,Other,2025-05-16,2024-12-28,52,8431.14,Georgia,michaelanderson@example.org,Mobile,0,4.1
a3edf7e9-48d2-4054-bdc4-b5f87e63ebcc,Robert Salinas,28,Male,2023-06-22,2023-11-02,26,8479.44,Mayotte,tylerjohnson@example.net,Desktop,0,1.4
87292320-a1cd-46b1-92f1-0e8526b07a73,William Chapman,28,Female,2023-05-26,2024-06-19,64,9556.84,Cambodia,michael33@example.net,Desktop,1,2.4
06158eff-8f8d-4f39-9619-a502b49f3854,Kathleen Robinson,41,Male,2022-08-05,2024-12-21,98,1631.25,Mauritius,hahnvictoria@example.org,Desktop,0,4.9
26253015-7fdb-4664-bb32-78fb46d85d6d,John Mcguire,53,Male,2023-04-20,2024-03-19,59,6270.99,Guernsey,mark47@example.org,Tablet,0,4.2
5d859bfe-7266-4f78-8963-3b5c6b6afec0,Carrie Riley,57,Female,2025-05-01,2024-06-16,56,4794.95,Puerto Rico,morgankimberly@example.com,Desktop,1,3.0
6b0ffe26-3c2b-4639-ab1e-8c555b13fa8a,Candice Williams,41,Male,2024-10-13,2024-04-10,59,3509.4,Norfolk Island,mgonzalez@example.net,Desktop,0,2.4
ababb3b6-c35e-464c-ad4c-6cf31e5a0218,Jeffrey Obrien,20,Other,2025-05-21,2024-05-07,70,3580.25,Grenada,tmurphy@example.net,Desktop,0,4.5
895149b0-e9bc-4f44-b264-83c15a786cc9,Kevin Diaz,39,Male,2024-10-14,2024-06-02,33,4186.66,Lesotho,richard38@example.org,Mobile,1,3.2
c9266eed-5b25-414c-8906-a2eabc0ae675,Andrew Contreras,19,Female,2024-09-23,2025-05-11,53,7078.76,Martinique,mwright@example.com,Mobile,1,4.0
e9fd39e1-1c94-495e-aac5-e66176565393,Daniel Flores,41,Female,2022-07-22,2024-05-03,22,6023.03,Swaziland,ryannavarro@example.org,Tablet,1,4.0
0da29d2b-2916-424c-94a6-122ce59d499a,Rebecca Acosta,61,Female,2022-11-06,2024-02-11,21,4650.85,Grenada,cmunoz@example.org,Tablet,1,1.1
32af5b88-9a84-4f50-bc57-fafe1debd34c,James Fry,47,Male,2024-02-13,2025-05-22,70,851.74,Belarus,chasealexis@example.net,Mobile,1,1.5
d9c62b58-f62b-48b1-8999-fff5fbe5b579,David Burch,55,Female,2023-04-30,2024-11-18,70,869.88,Djibouti,cesarfox@example.org,Tablet,1,3.6
51a4157f-0a84-4b4c-8fe2-112550e94840,Dennis Martin,19,Female,2025-05-18,2024-06-24,4,123.16,Nepal,brian80@example.org,Mobile,1,1.6
b65fe445-eb27-46a1-a846-7f54f62603e0,Kristy Martinez,38,Male,2023-02-04,2024-11-01,94,9680.22,Lesotho,melindasmith@example.com,Desktop,0,2.0
b320471f-9ce1-4a2e-9527-a01d829d51ff,Michael Ellis,50,Other,2025-02-27,2024-02-26,75,152.01,Antarctica (the territory South of 60 deg S),charles26@example.com,Desktop,1,4.8
d0cae694-be46-4518-8855-caf01c80f47f,James Tyler,29,Male,2022-09-21,2024-10-25,62,1120.63,Korea,bowenamy@example.org,Tablet,1,3.2
6d71cfbe-82fa-410e-a69c-92dfd8116225,Ana Murphy,39,Female,2024-01-11,2025-03-01,62,3214.51,Romania,igriffith@example.com,Mobile,1,4.0
ee2b5158-5fcf-44f6-88cb-8b5a138b121c,Cory Cooley,61,Female,2023-08-16,2025-03-27,94,8093.56,Saint Lucia,nrogers@example.net,Mobile,0,3.2
8310c70f-d035-47b9-b11f-9651110dec16,Alexandra Perry,42,Male,2025-04-07,2024-10-07,95,9624.78,Congo,wilsonjustin@example.org,Tablet,0,3.2
3d15643b-d60f-4320-a3b3-551b4f0abfd3,Juan Murphy,66,Other,2023-01-17,2024-08-16,24,7921.13,Guinea-Bissau,lynchsteven@example.com,Mobile,1,1.4
d070fcab-10a8-43f2-9105-eccc54517503,Teresa Dodson,44,Female,2023-10-16,2023-08-12,55,6936.55,Jersey,turneryvette@example.net,Desktop,1,2.4
d1243097-9b22-4a00-be3f-b1a8b1684d79,Preston Jenkins,59,Female,2024-06-05,2024-06-13,9,5260.88,Cape Verde,jeanettemartinez@example.net,Tablet,1,2.1
648c820c-a75c-4742-b79f-ce4156c2826a,Jennifer Green,45,Female,2024-10-12,2024-12-13,3,958.38,Grenada,jessicacarroll@example.com,Tablet,0,2.6
955df8b0-0006-4410-9861-e76b87d3eda3,Jennifer Lee,33,Male,2023-05-30,2025-04-14,31,9585.89,Switzerland,daniel08@example.com,Mobile,0,4.2
